DIAGNOSIS_DATE,event_cumulative_difference
2020-03-02,0.0
2020-03-03,-1.0
2020-03-04,-4.0
2020-03-05,2.0
2020-03-06,0.0
2020-03-07,-4.0
2020-03-08,1.0
2020-03-09,4.0
2020-03-10,1.0
2020-03-11,0.0
2020-03-12,7.0
2020-03-13,16.0
2020-03-14,41.0
2020-03-15,61.0
2020-03-16,208.0
2020-03-17,289.0
2020-03-18,600.0
2020-03-19,1306.0
2020-03-20,1413.0
2020-03-21,1249.0
2020-03-22,1314.0
2020-03-23,1863.0
2020-03-24,3175.0
2020-03-25,4853.0
2020-03-26,4999.0
2020-03-27,5086.0
2020-03-28,1762.0
2020-03-29,2973.0
2020-03-30,6106.0
2020-03-31,5407.0
2020-04-01,5407.0
2020-04-02,5666.0
2020-04-03,5607.0
2020-04-04,3790.0
2020-04-05,3700.0
2020-04-06,6278.0
2020-04-07,5942.0
2020-04-08,5474.0
2020-04-09,4989.0
2020-04-10,4438.0
2020-04-11,3712.0
2020-04-12,2796.0
2020-04-13,3285.0
2020-04-14,4120.0
2020-04-15,3844.0
2020-04-16,3503.0
2020-04-17,3546.0
2020-04-18,2149.0
2020-04-19,2338.0
2020-04-20,3773.0
2020-04-21,3024.0
2020-04-22,3442.0
2020-04-23,2770.0
2020-04-24,2512.0
2020-04-25,1592.0
2020-04-26,980.0
2020-04-27,2262.0
2020-04-28,2709.0
2020-04-29,2329.0
2020-04-30,2011.0
2020-05-01,1880.0
2020-05-02,1048.0
2020-05-03,777.0
2020-05-04,1544.0
2020-05-05,1491.0
2020-03-01,-1.0
2020-05-06,1387.0
2020-02-29,0.0
2020-05-07,1232.0
2020-05-08,1071.0
2020-05-09,653.0
2020-05-10,442.0
2020-05-11,1205.0
2020-05-12,1267.0
2020-05-13,1323.0
2020-05-14,1098.0
2020-05-15,855.0
2020-05-16,460.0
2020-05-17,334.0
2020-05-18,848.0
2020-05-19,978.0
2020-05-20,1057.0
2020-05-21,1041.0
2020-05-22,1013.0
2020-05-23,438.0
2020-05-24,452.0
2020-05-25,454.0
2020-05-26,1034.0
2020-05-27,726.0
2020-05-28,633.0
2020-05-29,640.0
2020-05-30,339.0
2020-05-31,219.0
2020-06-01,666.0
2020-06-02,561.0
2020-06-03,489.0
2020-06-04,509.0
2020-06-05,387.0
2020-06-06,234.0
2020-06-07,190.0
2020-06-08,438.0
2020-06-09,407.0
2020-06-10,354.0
2020-06-11,358.0
2020-06-12,397.0
2020-06-13,196.0
2020-06-14,171.0
2020-06-15,367.0
2020-06-16,410.0
2020-06-17,345.0
2020-06-18,373.0
2020-06-19,358.0
2020-06-20,197.0
2020-06-21,164.0
2020-06-22,384.0
2020-06-23,373.0
2020-06-24,374.0
2020-06-25,289.0
2020-06-26,302.0
2020-06-27,200.0
2020-06-28,163.0
2020-06-29,433.0
2020-06-30,432.0
2020-07-01,386.0
2020-07-02,408.0
2020-07-03,228.0
2020-07-04,112.0
2020-07-05,150.0
2020-07-06,421.0
,0.0
2020-07-07,451.0
2020-07-08,428.0
2020-07-09,384.0
2020-07-10,294.0
2020-07-11,245.0
2020-07-12,220.0
2020-07-13,477.0
2020-07-14,392.0
2020-07-15,427.0
2020-07-16,403.0
2020-07-17,400.0
2020-07-18,216.0
2020-07-19,170.0
2020-07-20,328.0
2020-07-21,330.0
2020-07-22,319.0
2020-07-23,297.0
2020-07-24,291.0
2020-07-25,149.0
2020-07-26,134.0
2020-07-27,305.0
2020-07-28,303.0
2020-07-29,286.0
2020-07-30,257.0
2020-07-31,229.0
2020-08-01,184.0
2020-08-02,132.0
2020-08-03,343.0
2020-08-04,172.0
2020-08-05,286.0
2020-08-06,261.0
2020-08-07,221.0
2020-08-08,155.0
2020-08-09,125.0
2020-08-10,305.0
2020-08-11,255.0
2020-08-12,306.0
2020-08-13,260.0
2020-08-14,264.0
2020-08-15,137.0
2020-08-16,130.0
2020-08-17,315.0
2020-08-18,268.0
2020-08-19,244.0
2020-08-20,217.0
2020-08-21,244.0
2020-08-22,125.0
2020-08-23,140.0
2020-08-24,287.0
2020-08-25,274.0
2020-08-26,302.0
2020-08-27,262.0
2020-08-28,271.0
2020-08-29,126.0
2020-08-30,174.0
2020-08-31,302.0
2020-09-01,288.0
2020-09-02,257.0
2020-09-03,263.0
2020-09-04,215.0
2020-09-05,91.0
2020-09-06,162.0
2020-09-07,213.0
2020-09-08,389.0
2020-09-09,321.0
2020-09-10,319.0
2020-09-11,304.0
2020-09-12,171.0
2020-09-13,239.0
2020-09-14,415.0
2020-09-15,323.0
2020-09-16,353.0
2020-09-17,344.0
2020-09-18,269.0
2020-09-19,156.0
2020-09-20,151.0
2020-09-21,498.0
2020-09-22,395.0
2020-09-23,516.0
2020-09-24,458.0
2020-09-25,442.0
2020-09-26,267.0
2020-09-27,362.0
2020-09-28,423.0
2020-09-29,662.0
2020-09-30,572.0
2020-10-01,596.0
2020-10-02,582.0
2020-10-03,250.0
2020-10-04,325.0
2020-10-05,746.0
2020-10-06,537.0
2020-10-07,525.0
2020-10-08,500.0
2020-10-09,492.0
2020-10-10,298.0
