,global_cumulative_difference
diff_0,3050.0
diff_1,3554.0
diff_2,9059.0
diff_3,3630.0
diff_4,3893.0
diff_5,3917.0
diff_6,6519.0
diff_7,4485.0
diff_8,4023.0
diff_9,3746.0
diff_10,5723.0
diff_11,5496.0
diff_12,7437.0
diff_13,6611.0
diff_14,4286.0
diff_15,5603.0
diff_16,2377.0
diff_17,450.0
diff_18,4135.0
diff_19,0.0
diff_20,6108.0
diff_21,4557.0
diff_22,4182.0
diff_23,3398.0
diff_24,2670.0
diff_25,2386.0
diff_26,3523.0
diff_27,3297.0
diff_28,4315.0
diff_29,4414.0
diff_30,2623.0
diff_31,2873.0
diff_32,1586.0
diff_33,2134.0
diff_34,2335.0
diff_35,2279.0
diff_36,2370.0
diff_37,1951.0
diff_38,1680.0
diff_39,1181.0
diff_40,1544.0
diff_41,1408.0
diff_42,1370.0
diff_43,1382.0
diff_44,1285.0
diff_45,4880.0
diff_46,631.0
diff_47,869.0
diff_48,1075.0
diff_49,1541.0
diff_50,1163.0
diff_51,1351.0
diff_52,640.0
diff_53,528.0
diff_54,702.0
diff_55,446.0
diff_56,1083.0
diff_57,690.0
diff_58,767.0
diff_59,630.0
diff_60,512.0
diff_61,709.0
diff_62,885.0
diff_63,770.0
diff_64,849.0
diff_65,644.0
diff_66,272.0
diff_67,272.0
diff_68,669.0
diff_69,486.0
diff_70,496.0
diff_71,585.0
diff_72,377.0
diff_73,426.0
diff_74,310.0
diff_75,421.0
diff_76,383.0
diff_77,433.0
diff_78,463.0
diff_79,283.0
diff_80,434.0
diff_81,311.0
diff_82,438.0
diff_83,265.0
diff_84,353.0
diff_85,304.0
diff_86,544.0
diff_87,241.0
diff_88,317.0
diff_89,282.0
diff_90,329.0
diff_91,375.0
diff_92,309.0
diff_93,333.0
diff_94,457.0
diff_95,329.0
diff_96,351.0
diff_97,428.0
diff_98,340.0
diff_99,283.0
diff_100,205.0
diff_101,297.0
diff_102,189.0
diff_103,373.0
diff_104,305.0
diff_105,317.0
diff_106,314.0
diff_107,271.0
diff_108,262.0
diff_109,357.0
diff_110,383.0
diff_111,318.0
diff_112,315.0
diff_113,262.0
diff_114,314.0
diff_115,476.0
diff_116,91.0
diff_117,350.0
diff_118,140.0
diff_119,522.0
diff_120,90.0
diff_121,211.0
diff_122,414.0
diff_123,303.0
diff_124,310.0
diff_125,274.0
diff_126,274.0
diff_127,194.0
diff_128,187.0
diff_129,313.0
diff_130,331.0
diff_131,273.0
diff_132,369.0
diff_133,205.0
diff_134,316.0
diff_135,238.0
diff_136,231.0
diff_137,355.0
diff_138,415.0
diff_139,314.0
diff_140,310.0
diff_141,375.0
diff_142,211.0
diff_143,167.0
diff_144,247.0
diff_145,292.0
diff_146,193.0
diff_147,209.0
diff_148,274.0
diff_149,179.0
diff_150,161.0
diff_151,175.0
diff_152,225.0
diff_153,304.0
diff_154,224.0
diff_155,227.0
diff_156,216.0
diff_157,282.0
diff_158,240.0
diff_159,307.0
diff_160,212.0
diff_161,290.0
diff_162,199.0
diff_163,-199.0
diff_164,326.0
diff_165,192.0
diff_166,446.0
diff_167,214.0
diff_168,281.0
diff_169,371.0
diff_170,318.0
diff_171,236.0
diff_172,262.0
diff_173,315.0
diff_174,616.0
diff_175,184.0
diff_176,313.0
diff_177,269.0
diff_178,196.0
diff_179,364.0
diff_180,376.0
diff_181,388.0
diff_182,332.0
diff_183,348.0
diff_184,386.0
diff_185,460.0
diff_186,451.0
diff_187,560.0
diff_188,597.0
diff_189,507.0
diff_190,426.0
diff_191,369.0
diff_192,559.0
diff_193,407.0
diff_194,634.0
diff_195,651.0
diff_196,463.0
diff_197,341.0
diff_198,405.0
diff_199,476.0
diff_200,418.0
diff_201,540.0
diff_202,520.0
diff_203,474.0
diff_204,440.0
diff_205,362.0
diff_206,697.0
diff_207,417.0
diff_208,459.0
diff_209,945.0
diff_210,326.0
diff_211,355.0
diff_212,544.0
diff_213,516.0
diff_214,302.0
diff_215,1103.0
diff_216,611.0
diff_217,566.0
diff_218,437.0
diff_219,680.0
diff_220,563.0
diff_221,754.0
diff_222,1041.0
